ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD201505,05/01/2015,92777625,89687950,63393900,61803508,29383725,27884442,78002935,74424651,54255249,51964852,23747686,22459799,84.1,83,85.6,84.1,80.8,80.5,8673,8435,60252,57472,68925,65907,78502373,75007184,2975003,2997214,1192699,1185398,1206950,1181496,539871332,518925608,874547,868456,255162,247227,1858.2,2244.4,49.6,48.7,99.4,270839,257531,122.1,0,121.6,0,121.9,0,108.960396,132.70074243,1.44,1.2715,1.1675,0.8472,1.5476,1.1133,1.1028,1.1051,1.1982,0.9848,1.327
SATD201506,06/01/2015,95699034,89520164,65232975,61654373,30466059,27865792,82695216,74653259,56994808,52151186,25700408,22502073,86.4,83.4,87.4,84.6,84.4,80.8,9456,8462,61811,57488,71267,65951,83253406,75339918,2954345,2957408,1156485,1168240,1186247,1171991,620954019,551269422,881343,876032,249521,248214,1899.9,2292.3,47.4,47.4,99.4,270574,258177,121.9,-0.2,122.4,0.7,122,0.1,108.63075683,133.59308966,1.45,1.2772,1.152,0.8349,1.5351,1.1827,1.1125,1.1095,1.2238,0.9593,1.3274
SATD201507,07/01/2015,100991322,90290933,68556581,62206272,32434741,28084660,88263768,75254058,60430846,52575144,27832922,22678914,87.4,83.3,88.1,84.5,85.8,80.8,10503,8518,65130,57773,75633,66291,88951664,75978275,3002075,2982790,1227312,1201229,1184112,1175980,680358542,562453097,893090,901064,256884,251826,2067.7,2273,47.8,47.3,100.2,278372,258012,122.9,0.8,124.2,1.5,123.3,1.1,109.30873887,133.06967447,1.44,1.288,1.1619,0.8585,1.5404,1.2067,1.1442,1.1256,1.2135,0.9577,1.3377
SATD201508,08/01/2015,98605906,90611102,66731034,62446590,31874872,28164511,85234949,76288364,57819224,53196230,27415725,23092134,86.4,84.2,86.6,85.2,86,82,10092,8651,62774,58975,72866,67627,85855967,76625384,2889286,2930444,1279486,1198541,1232802,1169409,627586111,552729154,843677,861832,258154,253049,2052.7,2258.4,51.5,48.9,100.9,272209,259020,123.3,0.3,123.2,-0.8,123.2,-0.1,109.13467555,131.83266705,1.45,1.299,1.1415,0.8566,1.5317,1.1858,1.0944,1.1311,1.2057,0.9891,1.3471
SATD201509,09/01/2015,87311778,90644072,59511989,62473523,27799789,28170549,72483190,76648857,49857958,53750816,22625232,22898040,83,84.6,83.8,86,81.4,81.3,7752,8708,55990,58982,63742,67690,73017733,76682439,3004570,3012834,1211041,1190992,1165129,1152925,519017227,545249462,900247,866891,250022,251856,1901.3,2289,49.6,48.7,100.9,255090,258671,123.5,0.2,123.5,0.2,123.4,0.2,108.81736136,131.0519703,1.47,1.2999,1.1736,0.8512,1.5102,1.1698,1.1008,1.1258,1.2221,0.9866,1.3473
SATD201510,10/01/2015,89525077,90704432,62551351,62905781,26973726,27798651,76094668,76747623,54074371,53947498,22020297,22800125,85,84.6,86.4,85.8,81.6,82,7841,8622,60892,59359,68733,67980,76678109,77180211,3207280,3010067,1249083,1185781,1209771,1128956,523223360,537481550,956049,875002,257696,254550,1987.3,2303.7,50.5,47,100.7,268469,257672,123,-0.4,124.4,0.7,123.4,0,108.31614548,129.93032553,1.49,1.3084,1.1725,0.8475,1.4788,1.1531,1.1111,1.1378,1.2299,0.9506,1.3443
SATD201511,11/01/2015,84942542,91120735,60467129,63241933,24475413,27878803,70030247,76314345,50913043,53631375,19117204,22682971,82.4,83.8,84.2,84.8,78.1,81.4,7439,8643,57151,58817,64590,67460,70460064,76709988,3105218,2985262,1119467,1129623,1101811,1119189,538968201,546261239,851059,872951,244070,249459,2249.1,2218.2,48.2,47.5,99.7,248843,260006,121.1,-1.5,123.8,-0.5,122,-1.1,107.50648075,129.28383781,1.48,1.3004,1.1628,0.8073,1.466,1.172,1.1085,1.1151,1.1843,0.9623,1.3306
SATD201512,12/01/2015,90268214,91582266,63241200,63375442,27027014,28206824,74827186,77197442,53118963,54369655,21708223,22827787,82.9,84.3,84,85.8,80.3,80.9,8532,8651,57870,59523,66402,68174,75327877,77785195,3276384,3019180,1082287,1111752,1049014,1107646,561992627,543723012,853434,875261,251164,246643,2588.2,2037.6,44.1,45.4,101.1,259424,261788,120.7,-0.3,125.1,1.1,122.2,0.2,106.96677634,126.6016562,1.48,1.3186,1.176,0.7946,1.4508,1.1665,1.1115,1.1025,1.0878,0.9196,1.3502
SATD201601,01/01/2016,86324710,91417662,59672180,63324562,26652530,28093100,69265865,76890147,48074919,54053469,21190946,22836679,80.2,84.1,80.6,85.4,79.5,81.3,8334,8693,52474,59470,60808,68163,69778658,77307215,2815647,3021644,1062112,1085444,1130858,1141318,443214812,541857239,798626,865224,253507,253179,3091.7,2276,39.8,42.3,102.7,239679,262611,122.5,1.5,124.1,-0.8,123,0.7,107.52550879,126.35294118,1.5,1.3105,1.177,0.7758,1.4949,1.1625,1.0987,1.1317,1.2151,0.8571,1.3709
SATD201602,02/01/2016,81955424,92177880,57466886,64041660,24488538,28136219,64559135,76850409,46460173,54210332,18098962,22640077,78.8,83.4,80.8,84.6,73.9,80.5,7386,8599,51111,59097,58497,67696,65026219,77854988,2558377,2927007,1014985,1079054,1087281,1150416,425393477,553076195,835127,864626,235963,251437,2652.3,2194.4,42.9,47.5,101.8,223011,261752,121.9,-0.5,124.7,0.5,122.8,-0.2,106.93931542,126.15648201,1.49,1.3198,1.1401,0.7712,1.5069,1.1866,1.098,1.1239,1.1715,0.9621,1.3586
SATD201603,03/01/2016,94156648,92485157,66469562,64306933,27687086,28178224,78684812,75827092,56704006,53492409,21980806,22334683,83.6,82,85.3,83.2,79.4,79.3,8962,8544,61593,58723,70555,67267,79121758,76905136,3083370,2995305,1057654,1055940,1102697,1121991,555131660,548865871,910132,864650,256477,252669,2356.3,2093.7,44.2,44.4,101.7,265147,262392,120.7,-1,123.7,-0.8,121.7,-0.9,106.15776029,126.45031411,1.51,1.3037,1.1667,0.7547,1.4696,1.1775,1.098,1.1294,1.1178,0.8982,1.3582
SATD201604,04/01/2016,91606913,92488024,63775639,64311105,27831274,28176919,75127770,76961762,53623642,54275039,21504128,22686723,82,83.2,84.1,84.4,77.3,80.5,8342,8590,58894,59170,67236,67760,75617435,77528262,3046837,3024616,1012381,1037980,1101110,1110021,512433020,545479233,873735,859079,257720,258082,2083.9,2362.6,45.1,45.6,103.2,269653,264735,123.2,2.1,124.1,0.3,123.5,1.5,106.45637079,127.14049115,1.5,1.3143,1.1781,0.7419,1.454,1.1703,1.0909,1.1536,1.2613,0.9239,1.3772
SATD201605,05/01/2016,96381341,92891121,66545378,64607519,29835963,28283603,80784690,77372241,57131553,54793923,23653137,22578319,83.8,83.3,85.9,84.8,79.3,79.8,8763,8556,62752,59916,71515,68472,81226986,77958147,2978308,2978627,1058600,1051318,1148705,1125901,571922265,552079050,882465,862227,264596,255947,1965.8,2376.1,46.4,45.5,102,277972,264565,122.5,-0.6,124.8,0.6,123.2,-0.2,106.22381786,126.99229012,1.5,1.3216,1.1602,0.7514,1.4748,1.1844,1.0949,1.1441,1.2685,0.9202,1.3615
SATD201606,06/01/2016,99866149,93305129,68799372,64998241,31066777,28306888,86518457,77793382,60278335,54995010,26240122,22798371,86.6,83.4,87.6,84.6,84.5,80.5,9744,8649,64757,60197,74501,68846,87042101,78370443,3050262,3051510,1073479,1082476,1120398,1117446,624827889,554699134,870018,864054,261461,261176,2000.7,2410.1,44.9,44.8,102.2,276991,264364,123.4,0.7,125.3,0.4,124,0.6,106.73811552,127.81067961,1.49,1.3285,1.1886,0.7737,1.4637,1.1901,1.0972,1.1674,1.2867,0.9065,1.3642
SATD201607,07/01/2016,104401229,93467599,71524272,65177757,32876957,28289842,90628483,77367472,62349264,54535567,28279219,22831905,86.8,82.8,87.2,83.7,86,80.7,10751,8690,66136,59368,76887,68058,91256833,77891379,3031681,3047313,1139143,1111674,1115819,1105876,681258622,565207442,811500,851113,270082,264907,2186.6,2386.2,47,46.4,104.8,285160,265645,125.6,1.8,124.3,-0.8,125,0.8,106.85541906,126.87721302,1.49,1.3204,1.187,0.7945,1.4485,1.2126,1.0808,1.1841,1.274,0.9399,1.3996
SATD201608,08/01/2016,101837319,93552079,69971945,65245804,31865374,28306276,86136355,77282651,59282193,54527635,26854162,22755016,84.6,82.6,84.7,83.6,84.3,80.4,9950,8658,63500,58948,73450,67605,86708521,77556357,3089859,3086740,1192602,1110540,1175723,1112369,622399656,543664870,866992,853408,273449,268477,2208.4,2415.9,49.4,46.7,101.4,279213,264145,123.7,-1.5,123.9,-0.3,123.7,-1,106.76827928,127.29811536,1.5,1.3147,1.2023,0.7937,1.457,1.1664,1.0837,1.2001,1.2898,0.9457,1.3543
SATD201609,09/01/2016,90445645,93727948,62507832,65469321,27937813,28258627,75323792,79312005,52660648,56412235,22663144,22899771,83.3,84.6,84.2,86.2,81.1,81,7857,8697,58620,60896,66477,69593,75735172,78783388,3144378,3138940,1146142,1129260,1116007,1106273,529746419,548090125,886614,853016,251894,255980,1947.8,2331.2,47.5,46.7,100.2,262039,263573,122.5,-1,125.3,1.1,123.4,-0.2,106.6647062,127.9871502,1.49,1.3355,1.2227,0.8071,1.449,1.1759,1.0832,1.1442,1.2445,0.9445,1.3383
SATD201610,10/01/2016,92169699,93461055,64769650,65332097,27400049,28128959,77274227,78470070,55320061,55624450,21954166,22845620,83.8,84,85.4,85.1,80.1,81.2,7830,8654,61709,60981,69539,69635,77790770,78715583,3363915,3175157,1184052,1123952,1192422,1120214,515715563,531303127,891367,828381,271800,268389,1925.2,2218.6,49.9,46.8,101.6,275610,266664,123.4,0.7,124.2,-0.9,123.6,0.2,106.74319687,127.78869218,1.49,1.3344,1.2368,0.8033,1.4673,1.1399,1.0519,1.1997,1.1845,0.948,1.357
SATD201611,11/01/2016,86896657,93374237,62885803,65815680,24010854,27558557,72215277,78405495,53280611,55903539,18934666,22501957,83.1,84,84.7,84.9,78.9,81.7,7322,8645,59269,60928,66591,69572,72625059,79157011,3397217,3235090,1123870,1137155,1121925,1136995,541014515,543075467,842380,846084,257922,263230,2159.5,2125.3,46.1,45.3,102.4,255154,265314,123.5,0.1,125.4,1,124.1,0.4,106.32479621,127.51884637,1.51,1.3419,1.2601,0.8127,1.4893,1.1651,1.0744,1.1766,1.1346,0.916,1.3669
SATD201612,12/01/2016,92983411,94382531,65698076,66056921,27285335,28325610,76957615,79100302,54812269,56025211,22145346,23075091,82.8,83.8,83.4,84.8,81.2,81.5,8805,8860,59178,60880,67983,69741,77310983,79525774,3455965,3215581,1091370,1118807,1131383,1168260,562539179,545155734,810009,845546,270123,264562,2866.3,2261.6,44.9,46.2,103.2,264778,267135,124.8,1.1,125.8,0.3,125.1,0.8,107.06667355,130.30696745,1.48,1.3481,1.2525,0.7996,1.5302,1.1696,1.0737,1.1826,1.2074,0.9356,1.3774
SATD201701,01/01/2017,89957347,94997720,63084040,66544894,26873307,28452826,71433297,79878198,50136641,56616398,21296656,23261801,79.4,84.1,79.5,85.1,79.2,81.8,8512,8890,54109,61514,62621,70405,71876269,80229543,2993084,3193432,1106215,1127569,1113971,1133960,458016423,558477826,805134,857588,270123,267868,2913.8,2158.3,43.9,46.3,102.9,242600,266509,124.1,-0.6,127.2,1.1,125.1,0,106.81509259,130.50256996,1.47,1.3601,1.2439,0.8059,1.4853,1.1982,1.089,1.1973,1.1523,0.9377,1.3741
SATD201702,02/01/2017,81365955,94827253,57436642,66292584,23929313,28534670,64261254,78967275,46484890,55965638,17776364,23001638,79,83.3,80.9,84.4,74.3,80.6,7299,8836,51078,61165,58377,70001,64666236,79549429,2710384,3241542,1035202,1146418,1040348,1136724,405865664,544535229,780180,847541,245467,270978,2340.2,2031.6,43,47.5,104,225644,265234,124.8,0.6,125.9,-1,125.1,0,106.41885527,130.64620217,1.48,1.3485,1.2626,0.8194,1.4889,1.1683,1.0763,1.2113,1.0846,0.9613,1.3885
SATD201703,03/01/2017,96763000,95050394,68737057,66436332,28025943,28614062,80838984,78861769,58791439,55931673,22047545,22930096,83.5,83,85.5,84.2,78.7,80.1,8999,8712,63963,60918,72962,69631,81311996,79888274,3435973,3294533,1126912,1126456,1123340,1129199,530748447,550754746,888768,842471,274785,271185,2523.3,2249.4,47.7,48.2,103,268343,265123,125.2,0.3,126.1,0.2,125.5,0.3,107.10440529,130.58566533,1.49,1.3543,1.2833,0.8051,1.4791,1.1816,1.0698,1.2122,1.2009,0.9761,1.3753
SATD201704,04/01/2017,94777063,95738751,66075380,66740933,28701683,28997818,79494360,80393265,56302476,56463167,23191884,23930098,83.9,84,85.2,84.6,80.8,82.5,9163,9206,61099,61674,70262,70881,79935852,80839898,3249956,3308667,1089556,1111526,1103713,1140090,561148298,576025514,837027,841892,279556,280527,1932,2199.9,44.1,44.3,104.4,272864,270670,125.5,0.2,127.2,0.9,126.1,0.5,108.12272978,130.14220445,1.48,1.3704,1.2888,0.7944,1.4933,1.2358,1.0691,1.2539,1.1745,0.896,1.3932
SATD201705,05/01/2017,99451590,95942189,68835215,66915590,30616375,29026599,83542041,80088279,59016291,56615328,24525750,23472951,84,83.5,85.7,84.6,80.1,80.9,9236,9047,64443,61451,73679,70498,83939006,80673843,3395667,3362996,1134834,1124748,1171410,1145920,574606036,554705327,878191,841742,290050,281207,1892,2288.4,42.6,41.7,104.7,281264,266153,126.2,0.6,127,-0.2,126.4,0.2,108.25289887,131.13449457,1.49,1.3676,1.31,0.8039,1.501,1.1901,1.0689,1.257,1.2217,0.8441,1.3984
SATD201706,06/01/2017,103710325,96718728,71663412,67564983,32046913,29153745,89667877,79986261,62468978,56575812,27198899,23410449,86.5,82.7,87.2,83.7,84.9,80.3,10262,8984,66746,61017,77008,70001,90130486,80500298,3442624,3431694,1129103,1137060,1156506,1150463,636313142,561004268,844939,834441,278060,278273,1910.4,2299,44.7,44.4,103.7,280290,266376,126.2,0,126.5,-0.4,126.2,-0.2,108.46339656,130.54426042,1.49,1.3647,1.3367,0.8127,1.5069,1.2036,1.0596,1.2439,1.2274,0.899,1.3838
SATD201707,07/01/2017,108632534,97608799,74806757,68477499,33825777,29131300,94106754,80858346,65035238,57339754,29071516,23518592,86.6,82.8,86.9,83.7,85.9,80.7,11242,9101,68575,62175,79817,71275,94641128,81270474,3451415,3465424,1129179,1102370,1153881,1142658,667515087,555365675,792993,835777,284041,279336,2141.6,2314.2,45.7,45,107.3,288566,269548,128.6,1.9,127.4,0.7,128,1.4,108.21624827,130.64962878,1.49,1.3777,1.3499,0.7879,1.4967,1.1915,1.0613,1.2486,1.2355,0.9111,1.4319
SATD201708,08/01/2017,105782526,97180247,73231170,68209065,32551356,28971182,90444528,80953473,62520313,57414723,27924215,23538750,85.5,83.3,85.4,84.2,85.8,81.2,10437,9108,66665,61893,77102,71001,90980861,81410523,3534006,3519619,1184965,1104313,1216328,1152921,628885839,549513680,840222,829017,281100,276017,2093.8,2275.1,47,44.6,108.4,282558,267211,129.2,0.5,127.3,-0.1,128.4,0.3,107.75081808,132.18903484,1.5,1.3801,1.371,0.7893,1.5101,1.1789,1.0527,1.2338,1.2146,0.9032,1.4466
SATD201709,09/01/2017,91409247,94870550,63120361,66380491,28288886,28490059,74645832,79215612,51871588,56167898,22774244,23047714,81.7,83.5,82.2,84.6,80.5,80.9,7773,8683,57145,60174,64918,68857,75092482,78875946,3514525,3518959,1113057,1100968,1139093,1125683,511006011,528553073,846559,828584,260591,266594,1920.5,2288.9,44,43.4,109,265212,266506,129.1,-0.1,124.4,-2.3,127.2,-0.9,107.86368896,132.90691034,1.46,1.3371,1.3707,0.7869,1.4745,1.134,1.0522,1.1917,1.222,0.8794,1.455
SATD201710,10/01/2017,96446815,97290598,68007445,68143990,28439370,29146608,80629312,81602047,58257903,58219141,22371409,23382906,83.6,83.9,85.7,85.4,78.7,80.2,8079,8982,64625,62921,72704,71903,81168258,81847540,3725482,3498154,1173743,1119878,1233353,1163066,544835510,551489428,913074,834481,290875,287306,2031.5,2324.6,45.7,43,109.4,278888,268718,130.4,1,128,2.9,129.4,1.7,109.19294892,133.95316962,1.46,1.3875,1.3626,0.8004,1.5234,1.1832,1.0597,1.2842,1.2411,0.8713,1.4602
SATD201711,11/01/2017,90290523,97122848,65149170,68214777,25141353,28908071,75655182,81827469,55883967,58350865,19771215,23476604,83.8,84.3,85.8,85.5,78.6,81.2,7719,9009,61911,63805,69630,72814,76124221,82338369,3845502,3656338,1106644,1122439,1143806,1164720,552222667,550094319,833902,838334,293896,298120,2357.3,2309.2,46.6,45.7,110.2,258159,268212,132.1,1.3,128.7,0.5,130.7,1,109.47577479,136.69046259,1.45,1.3958,1.4242,0.8022,1.5256,1.1802,1.0646,1.3326,1.2328,0.9245,1.4709
SATD201712,12/01/2017,96283221,97498176,68235415,68586990,28047806,28911187,79629124,81850755,56980320,58308765,22648804,23541990,82.7,84,83.5,85,80.8,81.4,8955,9064,61374,63459,70329,72522,80037671,82468721,3809805,3588467,1102229,1125831,1155490,1180947,558435738,544715540,775827,826539,300128,293270,3086,2444.9,43.9,44.8,112,267958,272319,133.7,1.2,128.3,-0.3,131.6,0.7,109.68940779,136.47944032,1.44,1.398,1.3978,0.8046,1.5469,1.1686,1.0496,1.3109,1.3052,0.9077,1.4956
SATD201801,01/01/2018,93056109,98338686,65566520,69161145,27489589,29177541,73352756,82482557,51716869,58683865,21635887,23798692,78.8,83.9,78.9,84.9,78.7,81.6,8598,9060,55830,63806,64428,72866,73795773,82858517,3401398,3602750,1074022,1092723,1159338,1177313,438710211,540892721,790699,824090,291804,288174,3340.9,2502.7,45,47.1,109,244736,268361,131.7,-1.5,128.6,0.2,130.4,-0.9,109.6208636,137.39605939,1.45,1.4046,1.4033,0.781,1.5421,1.1604,1.0465,1.2881,1.3361,0.9543,1.4546
SATD201802,02/01/2018,85156278,99253283,60464271,69753937,24692007,29499346,68213441,83867752,49452398,59485466,18761043,24382286,80.1,84.5,81.8,85.3,76,82.7,7637,9275,54078,64837,61715,74112,68674180,84112065,3085173,3717062,1028163,1137405,1105421,1204533,397611189,539299119,768012,835508,264816,290650,2710.7,2354.1,43.9,48.4,111.7,227759,267857,134.1,1.8,130.4,1.4,132.6,1.7,110.02272283,138.128498,1.45,1.4259,1.4479,0.8129,1.5777,1.157,1.061,1.2992,1.2568,0.9787,1.4913
SATD201803,03/01/2018,100683549,99015934,71674603,69363883,29008946,29652050,85599897,83055668,61707206,58494342,23892691,24561327,85,83.9,86.1,84.3,82.4,82.8,9647,9188,66643,63800,76290,72988,86103130,84358188,3751124,3687628,1164406,1163426,1201985,1215452,507584752,511389329,843259,815506,291322,288895,2796.7,2507.1,49.8,50.6,112.2,270705,268556,135.7,1.2,129.7,-0.5,133.4,0.6,110.54004767,138.43203883,1.45,1.4301,1.4364,0.8315,1.5921,1.0971,1.0356,1.2913,1.3385,1.0233,1.4979
SATD201804,04/01/2018,99520372,100581442,70357641,70942168,29162731,29639274,82536712,84179228,59340837,59784881,23195875,24394347,82.9,83.7,84.3,84.3,79.5,82.3,9074,9205,64557,64801,73631,74006,83009459,84322245,3551102,3532229,1126657,1143054,1179073,1207833,502623911,540971015,831169,818961,283594,285213,2350.5,2683.4,52.5,52.4,111.6,275127,273320,135.5,-0.1,129.9,0.2,133.3,-0.1,111.73221926,138.91661907,1.45,1.4294,1.3759,0.8169,1.5821,1.1606,1.04,1.2749,1.4326,1.0609,1.4893
SATD201805,05/01/2018,104550878,100846720,73310982,71229598,31239896,29617122,88019738,83770753,62580573,59533323,25439165,24237430,84.2,83.1,85.4,83.6,81.4,81.8,9452,9192,67844,64514,77296,73706,88525374,84649729,3754250,3705219,1171733,1155230,1244509,1221937,556052014,536405872,859977,826131,298650,289823,2055,2489.3,54.2,53.4,113,283713,267556,136.5,0.7,130.6,0.5,134.2,0.7,110.69897505,140.65962307,1.44,1.435,1.4433,0.8257,1.6005,1.1508,1.0491,1.2955,1.329,1.0816,1.5088
SATD201806,06/01/2018,107912286,101134828,75323764,71568298,32588522,29566530,94375329,84425906,66095834,60293261,28279495,24132645,87.5,83.5,87.7,84.2,86.8,81.6,10606,9271,70278,64901,80884,74171,94917320,85172855,3700674,3696696,1152587,1160579,1233577,1224410,600475156,527291344,824159,828867,290939,290647,2063.1,2474.9,53.8,53.2,114,282648,269325,137.2,0.5,131.3,0.5,134.9,0.5,111.56529145,141.01056539,1.45,1.4439,1.4399,0.8295,1.6038,1.1313,1.0526,1.2992,1.3213,1.0775,1.5216
SATD201807,07/01/2018,112677219,101194007,78406996,71577489,34270223,29616518,98883723,84502591,69091770,60446967,29791953,24055624,87.8,83.5,88.1,84.4,86.9,81.2,11421,9278,72540,64492,83961,73770,99373488,85279460,3653033,3638119,1168482,1146904,1232880,1219922,655798387,540340555,798985,822657,290901,286353,2350.7,2518.1,49.8,48.9,113.4,290989,270452,136,-0.9,131.1,-0.2,134.1,-0.6,111.717732,140.66019417,1.45,1.4457,1.4171,0.8197,1.5979,1.1593,1.0447,1.28,1.3443,0.9889,1.5146
SATD201808,08/01/2018,110046265,101333239,76722877,71604321,33323388,29728918,94835592,84668390,66132066,60642364,28703526,24026026,86.2,83.6,86.2,84.7,86.1,80.8,10649,9265,70339,64447,80988,73712,95268900,85236842,3670755,3642371,1226049,1149645,1276948,1210186,622165201,538327121,835087,820512,296027,290795,2313.8,2499.5,52,49.9,114.1,284989,267900,136.6,0.4,131,-0.1,134.4,0.2,112.52566691,141.85208452,1.46,1.4449,1.4188,0.8217,1.5852,1.1549,1.0419,1.2998,1.3344,1.0107,1.5234
SATD201809,09/01/2018,98096193,101665693,68530530,72001397,29565663,29664296,79102243,84534429,55431382,60455816,23670861,24078613,80.6,83.1,80.9,84,80.1,81.2,8233,9240,60469,64767,68702,74007,79470511,83717181,3699185,3730239,1145301,1139282,1209202,1202659,495908489,513770597,818166,820732,305793,313485,2156.1,2567.6,50.3,50.3,115.2,267434,269877,138.5,1.4,129.3,-1.3,135,0.4,112.56610149,142.46773272,1.46,1.4192,1.453,0.8143,1.5753,1.1022,1.0422,1.4013,1.3708,1.019,1.5377
SATD201810,10/01/2018,101209471,101897572,72044942,71997296,29164529,29900276,84374600,85760150,61011632,61248444,23362968,24511706,83.4,84.2,84.7,85.1,80.1,82,8424,9456,67082,65216,75506,74672,84871437,85786418,3947446,3693364,1183163,1135358,1279057,1206191,541695863,541430117,923455,831532,313644,310626,2285.9,2600.2,56.2,54,116.1,281382,270155,139.6,0.8,132.1,2.2,136.7,1.3,112.37322636,142.0776699,1.46,1.4543,1.4386,0.8114,1.5799,1.1616,1.0559,1.3885,1.3882,1.0925,1.5502
SATD201811,11/01/2018,94867555,101469416,69098159,71969717,25769396,29499699,79461417,85196837,58779362,60709306,20682055,24487532,83.8,84,85.1,84.4,80.3,83,8079,9316,64660,65845,72739,75161,79928596,85600485,3813586,3629371,1109139,1125184,1183104,1200911,561549866,552450266,814395,813330,314398,316613,2715.9,2644.1,50.2,49.2,117.1,260473,269052,139.6,0,131.1,-0.8,136.3,-0.3,112.43917582,140.76784694,1.45,1.4511,1.4137,0.8042,1.573,1.1852,1.0328,1.4152,1.4116,0.9964,1.5629
SATD201812,12/01/2018,100428417,101440700,71865620,72244400,28562797,29196301,82764474,85800485,59477976,61436516,23286498,24363969,82.4,84.6,82.8,85,81.5,83.4,9238,9362,63646,66980,72884,76342,83062296,86372685,3841791,3631062,1124343,1143498,1199347,1222851,551882741,544220494,765150,820399,326224,317697,2999.5,2392,50.2,50.8,115.1,270370,277525,137.7,-1.4,132.2,0.8,135.5,-0.6,112.43258087,139.35208452,1.5,1.4642,1.4144,0.8173,1.6017,1.1676,1.0418,1.4201,1.277,1.0285,1.5371
SATD201901,01/01/2019,96987157,102265724,68754681,72363835,28232476,29901890,76935981,86510766,54357953,61612270,22578028,24898496,79.3,84.6,79.1,85.1,80,83.3,8984,9487,58034,66822,67018,76309,77340251,86283342,3500837,3703260,1106095,1123122,1181896,1203127,443790117,548023716,775609,807384,326965,323237,3424.3,2580,43.2,45,115.4,248927,273421,137.9,0.1,131.5,-0.5,135.4,-0.1,111.76054509,138.73786408,1.5,1.4627,1.4425,0.8027,1.5759,1.1757,1.0253,1.4448,1.3774,0.9115,1.5413
SATD201902,02/01/2019,87915449,102576047,62805313,72487489,25110136,30088558,70762598,87061688,51406118,61731547,19356480,25330141,80.5,84.9,81.8,85.2,77.1,84.2,7898,9646,55679,66968,63577,76614,71123784,87204090,3016482,3657760,997818,1104809,1088287,1185615,400576951,544766162,742566,809427,293373,319725,3019.1,2616.6,33.8,38.3,115.9,231791,272141,136.9,-0.7,132.6,0.8,135.2,-0.1,111.17262189,139.72901199,1.5,1.4783,1.4248,0.7896,1.553,1.1687,1.0279,1.4291,1.3969,0.7757,1.5478
SATD201903,03/01/2019,105309484,103592309,75651237,73180813,29658247,30411496,90028517,88057277,65407751,62391870,24620766,25665407,85.5,85,86.5,85.3,83,84.4,9977,9627,70233,67570,80210,77197,90478107,89269264,3782260,3675617,1064444,1059873,1182130,1182968,517020057,550748935,834429,823581,328368,327430,2927.8,2653.9,39.2,39.9,116,272379,270920,137,0.1,135.5,2.2,136.4,0.9,111.17197321,138.99457453,1.47,1.5133,1.4317,0.7575,1.5495,1.1816,1.0458,1.4636,1.4169,0.8079,1.5485
SATD201904,04/01/2019,101856842,103273522,72335257,73053637,29521585,30219886,86209795,87208194,61953259,61957865,24256536,25250330,84.6,84.4,85.6,84.8,82.2,83.6,9489,9590,66938,66629,76427,76219,86684142,87584428,3618268,3631522,1120790,1131446,1133354,1164947,532041046,549110524,855000,826654,317497,319724,2212.4,2523.6,42.9,42.5,116.9,273413,271928,137.9,0.7,133.8,-1.3,136.3,-0.1,110.54437223,138.67904055,1.48,1.4847,1.4146,0.8087,1.5259,1.1781,1.0497,1.4291,1.3473,0.8593,1.5605
SATD201905,05/01/2019,107425049,103876631,75386137,73458453,32038912,30418178,92550535,87355839,65811235,62019495,26739300,25336344,86.2,84.1,87.3,84.4,83.5,83.3,9982,9558,71365,66622,81347,76179,92977220,88264700,3745106,3682543,1142717,1119437,1166977,1146043,576765031,553273443,863434,827512,333172,324763,2134,2589.2,41.5,40.7,116.9,289711,271676,137.9,0,134.6,0.6,136.6,0.2,110.72935505,138.8078241,1.47,1.4963,1.4344,0.8001,1.5011,1.187,1.0508,1.4517,1.3823,0.8241,1.5609
